text,risk_level,risk_label
"SUGAR, edible common salt, ACIDITY REGULATOR (INS 330), Emulsifiers (E322, E476)., acidity regulator (e260), Invert Sugar Syrup, HYDROGENATED VEGETABLE OIL, cinnamon, Thickener (508), fruit and vegetable extracts",4,Concerning
Sweetener (960); Refined Palmolein Oil; WHEAT FLOUR; ANTICAKING AGENT(INS 554); Iodized Salt; Antioxidant (Ins 300).; REFINED WHEAT FLOUR; Liquid Glucose; Salt,5,High Risk
"FRUIT JUICE POWDER | Sodium Hydrogen Carbonate (Raising Agent, E500 (Ii)) | potassium chloride (gelling agent, e508) | Sugar | COCOA SOLIDS | Flax & Sesame Seeds | Sugar",4,Concerning
"Edible Vegetable Oil (Palm), invert sugar syrup, Potassium Carbonate (Acidity Regulator, E501(I)), EDIBLE VEGETABLE OIL (PALM), REFINED SUGAR, REFINED WHEAT FLOUR, LIQUID GLUCOSE",4,Concerning
"Whole Wheat Flour, rice flakes, WHEAT GLUTEN, Water",1,Very Safe
"Sugar, CORN FLOUR, SUGAR, vitamin a (ace vitamin d2 (ergocalciferol)",2,Safe
"milk solids, Double Toned Milk, Vitamin B1 (The chloride hydrochloride), glucose",1,Very Safe
Edible Vegetable Oil (Palm Oil); refined wheat flour; Refined Sugar; lemon juice concentrate,3,Moderate
"Milk solids, edible vegetable oil (mustard oil)",1,Very Safe
"VITAMIN B2 (RIBOFLAVIN), mixed spices",1,Very Safe
"Water, CUMIN SEED, Double Toned Milk, Spices, WATER",1,Very Safe
"sweeteners( 951, 950), Natural Colour (150D), Corn Flour, NATURAL ESSENTIAL OILS, INVERT SUGAR SYRUP, ELAICHI FLAVOUR, Class Ii Preservative",5,High Risk
"citric acid (acidifying agent, e330), Refined Wheat flour (Maida), ADDED FLAVOUR SUBSTANCES",4,Concerning
"invert syrup; ARTIFICIAL FLAVOURING SUBSTANCES ETHYL VANILLIN; FLAVOURING SUBSTANCE; refined wheat flour; Palm oil; orange juice; EMULSIFIER (SOYA LECITHIN); Edible Palm Oil; Flavour Enhancer (635); improver [blend of antioxidant 300, anticaking agent 170(i) & flour improver 1100]",5,High Risk
"liquid glucose, corn flakes, Invert Syrup, wheat gluten",3,Moderate
"cold pressed coconut oil, Jaggery, COCOA SOLIDS, Natural Cereal Fibre",1,Very Safe
Choco Crème,1,Very Safe
Emulsifier (Soya lecithin),4,Concerning
"synthetic food colours (ins 102 & 133), SUGAR, synthetic food colours, sugar, acidity regulators (330, 331()), Acidity Regulator (Ins 330)., edible vegetable oil (palm), water, raising agents[503(ii),500 (ii),450(1)], Natural Colour (150D), refined wheat flour (53%), Sugar",5,High Risk
sugar,2,Safe
"water, water, MILK SOLIDS, CUMIN SEED, CAFFEINE, CHOCO CRÈME",1,Very Safe
"ACIDITY REGULATOR (INS 330), ACIDITY REGULATORS (330&500()), ARTIFICIAL FLAVOURIN SUBSTANCES, soy sauce powder (soybean, wheat, salt), synthetic food colours (ins 102 & 133), natural colour (160a (i))",5,High Risk
"edible vegetable oil (mustard oil); Salt; ACIDITY REGULATOR (INS 330); Antioxidant; Guava Pulp; antioxidant (ins 320); Cocoa solids; SODIUM POLYPHOSPHATE (EMULSIFYING AGENT, E452(I)); HYDROGENATED VEGETABLE FATS; wheat flour (maida); MALTODEX- TRIN; Antioxidant",5,High Risk
LIQUID GLUCOSE; Antioxidant(E300); SUGAR; Synthetic Food Colour (INS-122)(INS-124); Artificial Flavour Substances (Rose); liquid glucose; LIQUID GLUCOSE; SUGAR,5,High Risk
"ARTIFICIAL FLAVOUR SUBSTANCES (ROSE), Mixed Spices, ADDED FLAVOUR NATURE IDENTICAL FLAVOURING SUBSTANCE, WHEAT BRAN, liquid glucose, COMMON SALT",5,High Risk
"LIQUID GLUCOSE, ORGANIC JAGGERY, Sweetener (955)., SYNTHETIC FOOD COLOUR (INS 133), SUGAR, carbonated water, SYNTHETIC FOOD COLOURS (E102 & E133), Flavouring Substances-Chocolate",5,High Risk
orange juice concentrate | Edible vegetable oil (Palm oil) | SUGAR | Tomato Powder | SUGAR | Palm oil,3,Moderate
"Organic Jaggery, mineral (Calcium carbonate), Rice Flakes, Cocoa Solids",1,Very Safe
Refined sugar | Sugar | iodised salt | REFINED PALM OIL | REFINED SOYABEAN OIL | Liquid Glucose | Class Ii Preservative | REFINED WHEAT FLOUR (MAIDA),4,Concerning
"FLAVOUR ENHANCER (635), Iodized Salt, tertiary butylhydroquinone (antioxidant, e319), edible palm oil, Acidity Regular (INS-330), NATURAL COLOUR (160A (I)), Artificial Flavoring Substance., COCOA SOLIDS, REFINED PALM OIL",5,High Risk
"REFINED PALM OIL, wheat flour, GLUTEN, Sugar",3,Moderate
Water,1,Very Safe
"REFINED WHEAT FLOUR, Refined Sugar, sunflower oil, Mixed Fruit, Palm Oil, Palm Oil, FLAVOURING SUBSTANCES-CHOCOLATE, SYNTHETIC FOOD COLOURS (110, 102), BUTTER, Sugar, Antioxidant (300).",5,High Risk
Refined sugar | sugar | REFINED WHEAT FLOUR | WATER | Vitamin B2 (Riboflavin) | corn flakes | Refined Palmolein oil | liquid glucose | sugar | SALT,3,Moderate
"Sugar, Sugar, butter, Edible Vegetable Oil (Palm)",2,Safe
"Refined Wheat Flour (Maida), INVERT SYRUP, Sunflower Oil, Toned Milk Dahi",3,Moderate
Flavour Enhancer (635) | Apple Acidity Regulator 330 | Artificial Flavourin Substances | wheat gluten | Maize Starch | EDIBLE COMMON SALT | INVERT SYRUP,5,High Risk
"SUGAR, Sugar, ALMOND",2,Safe
"sugar, Salt, REFINED PALMOLEIN OIL, yeast, Leavening Agent (Ins 500 {I}), Acidity Regulators (330&500()), Sweetener (960), Emuls 472E, 481 (1)",5,High Risk
"organic jaggery, WATER",1,Very Safe
"malt extract, common salt",2,Safe
"BUTTER, Soy Sauce Powder (Soybean, Wheat, Salt), CORN FLOUR, COCOA SOLIDS",2,Safe
"REFINED WHEAT FLOUR (53%), preservative (211), Rice Flour, STABILIZER (E 440), Liquid glucose, Refined Wheat Flour, ANTICIDANT [300], wheat gluten, ROLLED OATS",4,Concerning
"Iodised Salt, sesame seeds, WATER",2,Safe
"Flavour Enhancers E627 E631, Sugar, Synthetic Food Colour-124, acidity regulator (e260), SODIUM HYDROGEN CARBONATE (RAISING AGENT, E500 (II)), LODIZED SALT, Refined Palm Oil, PRESERVATIVE (211), Wheat gluten",5,High Risk
"edible palm oil, artificial sweeteners, Salt, REFINED WHEAT FLOUR, ANTIOXIDANT, Emulsifiers (322,412,472E,471), Fruit And Vegetable Extracts, Palmolein",5,High Risk
"Asafoetida, GLUCOSE, guava pulp, orange juice, Cumin Seed",1,Very Safe
"Double Toned Milk, WATER, RED CHILLI POWDER, CORN FLAKES, Cinnamon",1,Very Safe
"Cumin Seed | Sweetener (960) | Potassium Carbonate (Acidity Regulator, E501(I)) | Anticidant [300] | Hydrogenated vegetable fats | ACIDITY REGULATOR (CITRIC ACID) | edible common salt | ARTIFICIAL FLAVOUR SUBSTANCES (ROSE) | DRY FRUITS POWDER | refined wheat flour | Added Orange Flavour | Refined Palmolein",5,High Risk
"RAISING NTS (INS 503(II), INS 500(II), INS 450(I)), COCOA SOLIDS (0.7%), acidity regulator (e260), Spices, ACIDITY REGULATOR (CITRIC ACID), Edible Vegetable Oil (Palmolein Oil), edible salt",4,Concerning
"Sugar, LIQUID GLUCOSE, EDIBLE VEGETABLE OIL (PALM OIL), Cocoa Butter, WHEAT FLOUR (MAIDA), Sugar, artificial flavouring substances-vanilla, chocolate, ACIDITY REGULATOR (E260)",5,High Risk
"refined palmolein oil, sugar, organic whole millets flour, REFINED WHEAT FLOUR (53%), Palm Oil, sucrose, REFINED PALMOLEIN, CLASS II PRESERVATIVE (INS-211), refined palm oil, Salt, Acidity Regulator (INS 330)., Preservative (Ins234)",4,Concerning
Soya Flour,2,Safe
"jaggery | sodium hydrogen carbonate (raising agent, e500 (ii)) | Sesame Seeds | Cocoa Solids | Refined Wheat Flour | FLAVOURING SUBSTANCES",4,Concerning
"soya flour, Sugar",2,Safe
Acidity Regular (Ins-330),4,Concerning
"orange juice concentrate, SUGAR, NATURAL SPICE EXTRACTS, TOMATO POWDER, Cumin Seed, edible common salt",2,Safe
"MILK SOLIDS, ACIDITY REGULATOR (339(1)), Orange Juice Concentrate, COLOUR (INS 150D), maltodex- trin, Mango Pulp, Choco Crème, preservative (211), Acidity Regulator (INS 330)., Wheat flour (Maida), Synthetic Food Colours (E102 & E133)",5,High Risk
"Whole Wheat Flour(Atta), Emulsifiers [481(I), 471 & 472E], sweeteners( 951, 950), Leavening Agents ((5000), 503)), SYNTHETIC FOOD COLOURS, STABILIZER (407)",5,High Risk
water,1,Very Safe
"POTASSIUM CHLORIDE (GELLING AGENT, E508); acidity regulator (ins 330); RAISING AGENTS [503 (II), 500 (II) ); REFINED PALM OIL; Yeast; ORANGE JUICE; WATER; Preservative-211; BENGAL GRAM",4,Concerning
"salt; Edible Vegetable Oil (Mustard Oil); Palm oil; refined palm oil; lemon juice concentrate; Edible Vegetable Fat; REFINED PALM OIL; raising agents [503(ii),500(ii)]; Anticaking Agent (Ins 551); Refined Wheat flour (Maida)",4,Concerning
MILK,1,Very Safe
"MILK SOLIDS, MIXED SPICES, CINNAMON, palmolein, Soya Flour",3,Moderate
"Wheat Flour (Maida), refined wheat flour (maida)",3,Moderate
"ROLLED OATS, toned milk dahi",1,Very Safe
"Dry Fruits powder, Iodised Salt, REFINED WHEAT FLOUR (53%), Salt, edible vegetable oil (palm), RAISING AGENTS [503(ii),500(ii)], Palmolein, ANTIOXIDANT (INS 307B)",4,Concerning
"Wheat Gluten, Flour, caffeine, Palmolein",3,Moderate
acidity regular (ins-330) | SOYA FLOUR | EMULSIFIER (322) | SALT | Antioxidant (Ins 300).,4,Concerning
Vitamin B2 (Riboflavin),1,Very Safe
"REFINED SOYABEAN OIL, corn flakes",3,Moderate
"Sugar, wheat flour, Milk Solids",2,Safe
Humectant (4510) | Invert Syrup | ARTIFICIAL FLAVOUR SUBSTANCES (ROSE) | Invert Sugar Syrup,5,High Risk
"Common Salt, GUAVA PULP, SYNTHETIC FOOD COLOURS (INS 102 & 133), Invert Syrup, Sodium Polyphosphate (Emulsifying Agent, E452(I)), Vitamin B2 (Riboflavin), SALT, Vitamins, COCOA SOLIDS, STABILISERS (415, 466, 1400),, acidity regulators (330, 331()), Refined Wheat Flour (Maida)",5,High Risk
"NATURAL SPICE OILS, Cumin Seed, Rock Salt, jaggery",1,Very Safe
"CITRIC ACID (ACIDIFYING AGENT, E330) | TONED MILK DAHI | Permitted Emulsifier (E481()) | Ferrous Citrate | refined wheat flour (maida) | emulsifiers [471,481 (i)] | Anticaking Agent(Ins 554) | REFINED PALMOLEIN | malt extract | Choco Cream",4,Concerning
"COLOUR (INS 150D), THICKENER (508), anticaking agent(ins 554), vitamin b2 (riboflavin)",4,Concerning
Edible Vegetable Oil (Palm) | Refined Wheat Flour (Maida) | REFINED PALM OIL | edible vegetable oils (palm) | PALM OIL | Refined Palm Oil,3,Moderate
"Antioxidant (INS 320), palm oil, ANTIOXIDANT (INS 322(1)), Fruit Juice Powder, Anticaking Agent (INS 551), EMULS 472e, 481 (1), DRY FRUITS POWDER, WHEAT FLOUR (MAIDA), Synthetic Food Colour (Ins 133), Cinnamon, Wheat Gluten, sugar",5,High Risk
"Butter, RAGI, Lodized Salt, NATURAL FOOD COLOUR (150), Butter, Milk Solids",2,Safe
"EDIBLE VEGETABLE OIL (PALM), cold pressed coconut oil, cocoa solids, Cocoa Solids, FLOUR, Edible Common Salt",2,Safe
"Stabilisers (415, 466, 1400),",4,Concerning
"Mixed Spices, RICE FLOUR, Water, WHEAT BRAN, Guava Pulp",1,Very Safe
"Salt, raising nts (ins 503(ii), ins 500(ii), ins 450(i)), cocoa solids (0.7%), PALMOLEIN, soya flour, INVERT SYRUP, Sugar, SYNTHETIC FOOD COLOURS, Butter, NATURAL COLOUR (150d), PALM OIL",5,High Risk
"refined palmolein oil, salt, Refined Wheat Flour (Maida), BLACK SALT, FLOUR, wheat flour (maida)",3,Moderate
"sugar, corn flour",2,Safe
"SWEETENER (955)., synthetic food colours (e102 & e133), refined wheat flour (maida), INVERT SYRUP, Liquid glucose, Salt, Edible Vegetable Oil (Soyabean, Palmolein), Choco Cream, NATURAL FOOD COLOUR (150)",5,High Risk
Cereal Products,1,Very Safe
"Toned Milk, Noodle powder, dehydrated vegetables (carrot, parsley), Peas, WATER, COCOA SOLIDS",1,Very Safe
"WHOLE WHEAT FLOUR, COCOA SOLIDS, refined palmolein oil, Added Orange Flavour, Palmolein, Organic Whole Millets Flour",4,Concerning
"Artificial flavoring substance., stabilizer (pectin), Humectant (4510), Organic Whole Millets Flour, vitamins, EDIBLE COMMON SALT",5,High Risk
"bengal gram, MILK",1,Very Safe
"Emulsifiers (322,412,472E,471); LIQUID GLUCOSE; acidity regulators (5000), 5010))&170(0))",4,Concerning
"Liquid Glucose, glucose, Organic Whole Wheat Flour, sugar, Bengal Gram",3,Moderate
"NATURAL ESSENTIAL OILS, Rolled Oats",1,Very Safe
"REFINED PALMOLEIN OIL, CAFFEINE, FLOUR, wheat gluten, SUGAR, IODIZED SALT",3,Moderate
"COCOA BUTTER, Liquid Glucose, edible common sequestrant (339(1)), MALT EXTRACT, Antioxidant (Ins 322(1)), antioxidant(e300), Palmolein, Invert Syrup, LIQUID GLUCOSE, natural food colour (150), Artificial Flavour Substances (Rose), SYNTHETIC FOOD COLOURS",5,High Risk
"SUGAR, TOMATO POWDER, LIQUID GLUCOSE, sugar, Cocoa Butter, antioxidant (ins 322(1)), Salt, PRESERVATIVES (280, 281 & 200], PALM OIL, Water, Palm Oil, Anticaking Agent (Ins 551)",4,Concerning
"cocoa butter, Natural Spice Oils, ALMOND, FLAX & SESAME SEEDS",2,Safe
"Asafoetida, orange fruit powder, REFINED WHEAT FLOUR, orange juice concentrate, PALM OIL, SYNTHETIC FOOD COLOURS, citric acid (acidifying agent, e330), ASAFOETIDA",5,High Risk
WATER,1,Very Safe
choco cream,2,Safe
sugar,2,Safe
"Water, fruit and vegetable extracts, LIQUID GLUCOSE, CLASS II PRESERVATIVE, CINNAMON",4,Concerning
"Sugar, Edible Vegetable Oil",2,Safe
"SUGAR; ANTICIDANT [300]; cocoa solids; Emulsifiers (E322, E476).; butter; Liquid Glucose",4,Concerning
Sugar | Salt | flavour enhancers e627 e631 | refined wheat flour (maida) | Thickeners (508 & 412),5,High Risk
Caffeine,1,Very Safe
Toned Milk Dahi; SPICES & CONDIMENTS; REFINED PALM OIL; whole wheat; Flavour enhancer (635); Edible Common Salt; SWEETENER (955).; edible common sequestrant (339(1)); sugar; Wheat Flour (Maida); Edible Vegetable Oil (Palmolein Oil); Sugar,5,High Risk
ADDED FLAVOUR (NATURAL FLAVOURING SUBSTANCES,4,Concerning
"acidity regulator (330), Milk, noodle powder, SUGAR, sugar, Refined Wheat Flour (Maida), SUGAR, Stabilizer (407), PALM OIL, Refined Wheat Flour, SODIUM POLYPHOSPHATE (EMULSIFYING AGENT, E452(I))",4,Concerning
"Orange Juice, rock salt, jaggery",1,Very Safe
sugar | refined palmolein oil | Sugar,3,Moderate
"Maltitol (965); Edible Common Salt; Refined Wheat Flour; preservatives (280, 281 & 200]",4,Concerning
"Bengal gram dal; Milk solids; FLAVOUR ENHANCERS E627 E631; DOUGH CONDITIONER (223); ADDED FLAVOUR SUBSTANCES; BENGAL GRAM DAL; edible vegetable oil (soyabean, palmolein); CLASS II PRESERVATIVE; Palm oil; Sugar",5,High Risk
"Turmeric Powder, NATURAL ESSENTIAL OILS, rolled oats, turmeric powder, peanut, TRICALCIUM PHOSPHATE",1,Very Safe
Acidity Regulator (E260); Salt; Invert Syrup; Palm Oil; EDIBLE COMMON SALT; Synthetic Food Colours (E102 & E133),5,High Risk
"invert sugar syrup, Milk solids, Invert Syrup, REFINED WHEAT FLOUR (53%), BLACK SALT, Refined Palm Oil, edible vegetable oils (palm), butter, REFINED PALMOLEIN, sugar, LIQUID GLUCOSE, stabilizer (ins 170)",4,Concerning
"Refined Wheat Flour, water, refined palmolein oil, Ferrous Citrate, REFINED PALM OIL",3,Moderate
SUGAR,2,Safe
"Acidity Regulator (INS-330) | Rice Flakes | palmolien oil | Flour Treatment Agent (1100) | THICKENER (508) | Acidity Regulator (330) | Sugar | Acidity Regulator (339(1)) | EMULSIFIERS (INS 322(1), INS 471).",4,Concerning
"antioxidant | liquid glucose | mineral (calcium carbonate) | REFINED WHEAT FLOUR | Synthetic Food Colours | Anticaking Agent E551 | Hydrogenated Vegetable Oil | Sodium Hydrogen Carbonate (Raising Agent, E500 (ii))",5,High Risk
"Tomato Powder, bengal gram dal, Salt, DRY FRUITS POWDER",2,Safe
"Hydrogenated Vegetable Oil, edible common salt, WHEAT GLUTEN, hydrogenated vegetable fat",2,Safe
"milk solids, turmeric powder, Toned Milk Dahi, Spices, Whole Wheat Flour, Dry Fruits Powder",1,Very Safe
"Wheat Bran, Purified Water, Cocoa solids, Oats, SESAME SEEDS",1,Very Safe
SYNTHETIC FOOD COLOURS (E102 & E133) | palmolien oil | ANTIOXIDANT (300). | flavour enhancers (ins 627&ins 631). | sugar,5,High Risk
"CORN FLAKES, Edible Salt, COMMON SALT",2,Safe
SOYA FLOUR; Orange Fruit Powder; ADDED ORANGE FLAVOURS; WATER; Flax & Sesame Seeds; Refined Palmolein; fruit and vegetable extracts; Vitamins; edible vegetable fat; sugar; Organic Whole Millets Flour,4,Concerning
FLAVOURING SUBSTANCE,4,Concerning
"Sugar, FRUIT AND VEGETABLE EXTRACTS",2,Safe
Artificial Flavouring Substance Vanilla And Milk; APPLE ACIDITY REGULATOR 330; PALMOLEIN; SUGAR; Refined Wheat Flour (53%); Acidity Regulator (Ins 330),5,High Risk
"Acidity regulator (339(1)), preservatives (280, 281 & 200], INVERT SYRUP, refined wheat flour",4,Concerning
Turmeric Powder; Artificial Flavour Substances (Rose); ADDED ORANGE FLAVOUR; Acidity Regulator(INS 330 & INS 260); sugar; SUGAR; Preservative (Ins234),5,High Risk
Organic Jaggery; WHEAT FLOUR; WHEAT FLOUR; Synthetic Food Colours (E102 & E133),5,High Risk
Natural Spice Extracts | Salt | BUTTER | Maize Starch | SYNTHETIC FOOD COLOUR (INS 133),5,High Risk
"Refined Palmolein Oil, BUTTER",3,Moderate
"edible palm oil, edible vegetable oil, REFINED WHEAT FLOUR (53%), Tomato Powder, FLOUR TREATMENT AGENT (1100), Acidity Regulator (INS 330), Liquid Glucose",4,Concerning
"Synthetic Food Colours (110, 102); sugar; emuls 472e, 481 (1); SUGAR; wheat flour; Water; added flavour nature identical flavouring substance; CONTAINS PERMITTED NATURAL COLOUR; PRESERVATIVES (280, 281 & 200]; Flavouring Substances",5,High Risk
ANTIOXIDANT | sugar | acidity regulator (330) | Sugar | SYNTHETIC FOOD COLOUR-124,5,High Risk
"cocoa solids, Organic Whole Wheat Flour, WHEAT GLUTEN, Milk, Tricalcium Phosphate",1,Very Safe
"Vitamins, NATURAL COLOUR (150d), Hydrogenated vegetable fat, acidity regulator(ins 330 & ins 260), edible vegetable oil (palm oil), IMPROVER [BLEND OF ANTIOXIDANT 300, ANTICAKING AGENT 170(i) & FLOUR IMPROVER 1100], ORANGE FRUIT POWDER, SOYA FLOUR, Toned Milk",4,Concerning
"MILK SOLIDS, flax & sesame seeds, natural cereal fibre, BLACK SALT, cinnamon, MILK SOLIDS",1,Very Safe
"EDIBLE PALM OIL; Liquid Glucose; Preservative (282); Emulsifiers (322,412,472E,471); ARTIFICIAL FLAVOURIN SUBSTANCES; wheat gluten; EMULSIFIERS (E322, E476).; Synthetic Food Colour (INS-122)(INS-124); CLASS II PRESERVATIVE; FLAVOUR ENHANCERS (INS 627&INS 631).; invert syrup; emuls 472e, 481 (1)",5,High Risk
"bengal gram, orange juice, ALMOND, Cocoa Solids, Bengal Gram",1,Very Safe
"Soya Flour, refined wheat flour, added flavour nature identical flavouring substance, ACIDITY REGULAR (INS-330), elaichi flavour, palm oil",4,Concerning
"Citric Acid (Acidifying Agent, E330)",4,Concerning
Soya Flour | palm oil | apple acidity regulator 330 | natural spice oils | Flavour Enhancers (INS 627&INS 631). | Sugar | CONTAINS PERMITTED NATURAL COLOUR | REFINED WHEAT FLOUR (53%) | RICE FLOUR,5,High Risk
"Palmolein, Water, REFINED PALM OIL, EDIBLE COMMON SALT, edible vegetable oil (mustard oil), Refined Palm Oil",3,Moderate
"FRUIT AND VEGETABLE EXTRACTS, flavour enhancers e627 e631, Salt, edible common salt, HYDROGENATED VEGETABLE FAT, Acidity Regulators (330, 331()), Wheat Bran, Edible common Sequestrant (339(1))",5,High Risk
"refined wheat flour, Iodized Salt, acidity regulators (330, 331()), ARTIFICIAL FLAVOURIN SUBSTANCES, palmolein, synthetic food colours, REFINED PALMOLEIN",5,High Risk
"EDIBLE VEGETABLE OILS (PALM), natural essential oils, Sugar, EDIBLE VEGETABLE FAT, Corn Flour",2,Safe
"Refined Wheat Flour, mineral (zinc b, vitamin e (acetate), water, IODIZED SALT, WHEAT FLOUR (MAIDA), cocoa solids",3,Moderate
"refined wheat flour (maida), WHEAT FLOUR, EDIBLE COMMON SALT, refined palmolein",3,Moderate
"Soya Flour | Soya Flour | SUGAR | artificial flavouring substances-vanilla, chocolate | SYNTHETIC FOOD COLOUR-124 | NATURE IDENTICAL FLAVOURING SUBSTANCES CHOCOLATE | SUGAR | Acidity Regulator (Ins 330) | refined wheat flour (maida) | sweeteners( 951, 950)",5,High Risk
Guava Pulp,1,Very Safe
"tricalcium phosphate, water",1,Very Safe
edible vegetable oils (palm),2,Safe
"sugar, Guava Pulp",2,Safe
"Mixed Spices, Sugar, wheat flour, edible vegetable oil (mustard oil)",2,Safe
